,ID,건물명,주소,판매 유형,건물 유형,보증금,월 납입 비용,관리비,면적(단위:평),주변 지하철역,준공일자,판매등록일자,구,동
8023,40030813,미등록 건물명,중구 운남동 1545-10,월세,원룸,300.0,30.0,8,8.0,없음,20161221,2024-03-12,중구,
18499,40070792,미등록 건물명,중구 학산동 6-11,월세,원룸,200.0,28.0,9,10.0,없음,2016.02.23,2024-03-05,중구,
17205,40066439,미등록 건물명,중구 운서동 2910-8,월세,원룸,300.0,50.0,7,10.0,없음,20110803,2024-03-13,중구,
17170,40066330,유진,중구 무학동 7-1,월세,오피스텔,1000.0,75.0,9.5,6.0,"['신당역', '청구역', '동대문역사문화공원역']",2019.4.12,2024-08-02,중구,무학동
13926,40054004,미등록 건물명,중구 대흥동 447-12,월세,원룸,2000.0,53.0,1.5,12.1,"['중구청역', '중앙로역', '대전역']",20190417,2024-03-11,중구,대흥동
15583,40059908,메이폴Ⅱ,중구 운서동 3093-6,전세,오피스텔,19000.0,0.0,9,11.6,['운서역'],2023.11.21,2024-03-11,중구,
15592,40059928,브릴란테남산,중구 필동1가 3-5,월세,오피스텔,3000.0,210.0,10,11.9,"['충무로역', '을지로3가역', '명동역']",20230717,2024-03-12,중구,필동1가
15601,40059958,글래드빌,중구 운서동 3093-7,월세,오피스텔,500.0,58.0,9,6.0,['운서역'],20211129,2024-03-12,중구,
15655,40060176,프라임시티1차,중구 운서동 3093-1,전세,오피스텔,9000.0,0.0,7,6.5,['운서역'],2019.04.02,2024-03-19,중구,
15659,40060198,미등록 건물명,중구 운서동 2900-10,월세,빌라,500.0,60.0,10,12.0,없음,20170413,2024-03-08,중구,
14638,40056579,미등록 건물명,중구 운서동 2904-5,월세,원룸,300.0,35.0,5,7.0,없음,20141002,2024-03-15,중구,
6151,40022950,미등록 건물명,중구 문화동 1-185,월세,원룸,300.0,37.0,3.5,7.0,"['서대전네거리역', '중구청역', '오룡역']",2018.3.8.,2024-03-01,중구,
15734,40060493,미등록 건물명,중구 대흥동 508-105,월세,원룸,300.0,37.0,1.5,8.0,"['중구청역', '중앙로역', '서대전네거리역']",20170220,2024-03-06,중구,대흥동
6149,40022936,브릴란테남산,중구 필동1가 3-5,전세,오피스텔,46000.0,0.0,20,11.9,"['충무로역', '을지로3가역', '명동역']",20230717,2024-03-12,중구,필동1가
15739,40060505,미등록 건물명,중구 유천동 217-13,월세,원룸,300.0,36.0,1.5,8.0,없음,20190719,2024-03-05,중구,
15755,40060569,미등록 건물명,중구 유천동 298-21,월세,원룸,300.0,37.0,1.5,8.0,없음,20180614,2024-03-11,중구,
14615,40056511,미등록 건물명,중구 신당동 340-61,월세,원룸,1000.0,40.0,7,3.0,"['청구역', '약수역', '동대입구역']",1990.04.10,2024-03-08,중구,신당동
14689,40056770,힐스테이트남산,중구 묵정동 1-23,월세,오피스텔,30500.0,10.0,0,13.3,"['충무로역', '동대입구역', '을지로4가역']",2024.1,2024-03-13,중구,묵정동
15764,40060603,센트럴팰리스,중구 보수동2가 84-19,월세,오피스텔,3000.0,23.0,12,5.4,"['토성역', '자갈치역', '동대신역']",2022. 11. 29,2024-03-12,중구,
15783,40060663,미등록 건물명,중구 대청동3가 10-2,월세,원룸,500.0,45.0,7,8.8,"['중앙역', '남포역', '자갈치역']",2017. 04. 19,2024-04-04,중구,
15788,40060669,미등록 건물명,중구 보수동1가 104-9,전세,원룸,10000.0,0.0,15,6.9,"['토성역', '자갈치역', '중앙역']",2022. 01. 21,2024-03-17,중구,
14596,40056446,미등록 건물명,중구 선화동 392,월세,원룸,1000.0,45.0,4.5,11.0,"['중구청역', '서대전네거리역', '중앙로역']",2015.12.22.,2024-03-07,중구,
